Module_name	Module_type	General_category	Specific_category	Module_description
M00624	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	 Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate [PATH:map00624 map01220 map01100 map01120]
M00623	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	 Phthalate degradation, phthalate => protocatechuate [PATH:map00624 map01220 map01100 map01120]
M00636	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	 Phthalate degradation, phthalate => protocatechuate [PATH:map00624 map01220 map01100 map01120]
M00878	Pathway modules	Xenobiotics biodegradation	Aromatics degradation	 Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA [PATH:map00360 map01100]
M00852	Signature modules	Gene set	Pathogenicity	 Vibrio cholerae pathogenicity signature, toxin coregulated pilus [PATH:map05110 map05111] [BR:ko02044]
M00850	Signature modules	Gene set	Pathogenicity	 Vibrio cholerae pathogenicity signature, cholera toxins [PATH:map05110]
M00542	Signature modules	Gene set	Pathogenicity	 EHEC/EPEC pathogenicity signature, T3SS and effectors [PATH:map05130]
M00363	Signature modules	Gene set	Pathogenicity	 EHEC pathogenicity signature, Shiga toxin [PATH:map05130 map05131]
M00853	Signature modules	Gene set	Pathogenicity	 ETEC pathogenicity signature, colonization factors
M00576	Signature modules	Gene set	Pathogenicity	 ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins
M00856	Signature modules	Gene set	Pathogenicity	 Salmonella enterica pathogenicity signature, typhoid toxin
M00857	Signature modules	Gene set	Pathogenicity	 Salmonella enterica pathogenicity signature, Vi antigen
M00575	Signature modules	Gene set	Pathogenicity	 Pertussis pathogenicity signature, T1SS [PATH:map05133]
M00574	Signature modules	Gene set	Pathogenicity	 Pertussis pathogenicity signature, pertussis toxin [PATH:map05133]
M00564	Signature modules	Gene set	Pathogenicity	 Helicobacter pylori pathogenicity signature, cagA pathogenicity island [PATH:map05120]
M00859	Signature modules	Gene set	Pathogenicity	 Bacillus anthracis pathogenicity signature, anthrax toxin
M00860	Signature modules	Gene set	Pathogenicity	 Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis
M00851	Signature modules	Gene set	Drug resistance	 Carbapenem resistance [PATH:map01501]
M00625	Signature modules	Gene set	Drug resistance	 Methicillin resistance [PATH:map01501]
M00627	Signature modules	Gene set	Drug resistance	 beta-Lactam resistance, Bla system [PATH:map01501]
M00745	Signature modules	Gene set	Drug resistance	 Imipenem resistance, repression of porin OprD
M00651	Signature modules	Gene set	Drug resistance	 Vancomycin resistance, D-Ala-D-Lac type [PATH:map01502 map02020]
M00652	Signature modules	Gene set	Drug resistance	 Vancomycin resistance, D-Ala-D-Ser type [PATH:map01502 map02020]
M00704	Signature modules	Gene set	Drug resistance	 Tetracycline resistance, efflux pump Tet38
M00725	Signature modules	Gene set	Drug resistance	 Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon [PATH:map01503]
M00726	Signature modules	Gene set	Drug resistance	 Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF [PATH:map01503]
M00730	Signature modules	Gene set	Drug resistance	 Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter [PATH:map01503]
M00744	Signature modules	Gene set	Drug resistance	 Cationic antimicrobial peptide (CAMP) resistance, protease PgtE
M00718	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MexAB-OprM
M00639	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MexCD-OprJ
M00641	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MexEF-OprN
M00642	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MexJK-OprM
M00643	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MexXY-OprM
M00769	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MexPQ-OpmE
M00649	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump AdeABC [PATH:map01501]
M00696	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump AcrEF-TolC
M00697	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MdtEF-TolC
M00698	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump BpeEF-OprC
M00700	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump AbcA
M00702	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump NorB
M00714	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump QacA
M00705	Signature modules	Gene set	Drug resistance	 Multidrug resistance, efflux pump MepA
M00746	Signature modules	Gene set	Drug resistance	 Multidrug resistance, repression of porin OmpF
M00660	Signature modules	Gene set	Plant pathogenicity	 Xanthomonas spp. pathogenicity signature, T3SS and effectors
M00664	Signature modules	Gene set	Symbiosis	 Nodulation
M00611	Signature modules	Module set	Metabolic capacity	 Oxygenic photosynthesis in plants and cyanobacteria
M00612	Signature modules	Module set	Metabolic capacity	 Anoxygenic photosynthesis in purple bacteria
M00613	Signature modules	Module set	Metabolic capacity	 Anoxygenic photosynthesis in green nonsulfur bacteria
M00614	Signature modules	Module set	Metabolic capacity	 Anoxygenic photosynthesis in green sulfur bacteria
M00617	Signature modules	Module set	Metabolic capacity	 Methanogen
M00618	Signature modules	Module set	Metabolic capacity	 Acetogen
M00615	Signature modules	Module set	Metabolic capacity	 Nitrate assimilation
M00616	Signature modules	Module set	Metabolic capacity	 Sulfate-sulfur assimilation
